,Kernel,Average False Confidence Before Retraining,Attack,batch_size,eps,eps_step,max_iter,name
0,rbf,0.2090689800670064,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
1,rbf,0.19579300243350467,"{'batch_size': 1, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
2,rbf,0.29779158702619174,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 10}",10,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
3,rbf,0.37043837328123097,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 1}",1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
4,rbf,0.359204484393977,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 100}",100,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
5,rbf,0.3030150872454703,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 10}",10,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
6,rbf,0.2959365844601931,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
7,rbf,0.25828891283856326,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
8,rbf,0.28041987988102735,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
9,rbf,0.30435423362213776,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 100}",100,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
10,rbf,0.30564329527196327,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 100}",100,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
11,rbf,0.30700724015745634,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
12,rbf,0.30618892766489525,"{'batch_size': 10, 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
13,rbf,0.3949390845574969,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 1}",1,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
14,rbf,0.26357962119160033,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.001, 'max_iter': 100, 'batch_size': 1}",1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
15,rbf,0.19333780033863993,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
16,rbf,0.3075195581508724,"{'batch_size': 10, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
17,rbf,0.2876065625014064,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
